"","sample","Area.12.0","Area.BHT","Area.13.0","Area.i.14.0","Area.14.0","Area.14.1n.9","Area.14.1n.7","Area.14.1n.5","Area.i.15.0","Area.ai.15.0","Area.15.0","Area.i16.0","Area.16.0","Area.16.1n.11","Area.16.1n.9","Area.16.1n.7","Area.16.1n.5","Area.17.1.a.","Area.i.17.0","Area.16.2n.6","Area.ai.17.0","Area.17.1.b.","Area.16.2n.4","Area.17.0","Area.Phytane","Area.16.3n.4","Area.17.1","Area.16.4n.3","Area.16.4n.1","Area.18.0","Area.18.1n.13","Area.18.1n.11","Area.18.1n.9","Area.18.1n.7","Area.18.1n.5","Area.18.2d5.11","Area.18.2n.7","Area.18.2n.6","Area.18.2n.4","Area.18.3n.6","Area.18.3n.4","Area.18.3n.3","Area.18.3n.1","Area.18.4n.3","Area.18.4n.1","Area.20.0","Area.20.1n.11","Area.20.1n.9","Area.20.1n.7","Area.20.2NMID1","Area.20.2n.9","Area.20.2NMID2","Area.20.2n.6","Area.20.3NMIT","Area.20.3n.6","Area.20.4n.6","Area.20.3n.3","Area.20.4n.3","Area.20.5n.3","Area.22.0","Area.22.1n.11","Area.22.1n.9","Area.22.1n.7","Area.22.2NMID1","Area.22.2NMID2","Area.22.2n.6","Area.21.5n.3","Area.23.0","Area.22.4n.6","Area.22.5n.6","Area.22.4n.3","Area.22.5n.3","Area.24.0","Area.22.6n.3","Area.24.1n.9","Area.12.0.1","Area.BHT.1","Area.13.0.1","Area.i.14.0.1","Area.14.0.1","Area.14.1n.9.1","Area.14.1n.7.1","Area.14.1n.5.1","Area.i.15.0.1","Area.ai.15.0.1","Area.15.0.1","Area.i16.0.1","Area.16.0.1","Area.16.1n.11.1","Area.16.1n.9.1","Area.16.1n.7.1","Area.16.1n.5.1","Area.17.1.a..1","Area.i.17.0.1","Area.16.2n.6.1","Area.ai.17.0.1","Area.17.1.b..1","Area.16.2n.4.1","Area.17.0.1","Area.Phytane.1","Area.16.3n.4.1","Area.17.1.1","Area.16.4n.3.1","Area.16.4n.1.1","Area.18.0.1","Area.18.1n.13.1","Area.18.1n.11.1","Area.18.1n.9.1","Area.18.1n.7.1","Area.18.1n.5.1","Area.18.2d5.11.1","Area.18.2n.7.1","Area.18.2n.6.1","Area.18.2n.4.1","Area.18.3n.6.1","Area.18.3n.4.1","Area.18.3n.3.1","Area.18.3n.1.1","Area.18.4n.3.1","Area.18.4n.1.1","Area.20.0.1","Area.20.1n.11.1","Area.20.1n.9.1","Area.20.1n.7.1","Area.20.2NMID1.1","Area.20.2n.9.1","Area.20.2NMID2.1","Area.20.2n.6.1","Area.20.3NMIT.1","Area.20.3n.6.1","Area.20.4n.6.1","Area.20.3n.3.1","Area.20.4n.3.1","Area.20.5n.3.1","Area.22.0.1","Area.22.1n.11.1","Area.22.1n.9.1","Area.22.1n.7.1","Area.22.2NMID1.1","Area.22.2NMID2.1","Area.22.2n.6.1","Area.21.5n.3.1","Area.23.0.1","Area.22.4n.6.1","Area.22.5n.6.1","Area.22.4n.3.1","Area.22.5n.3.1","Area.24.0.1","Area.22.6n.3.1","Area.24.1n.9.1","Quantity.12.0","Quantity.BHT","Quantity.13.0","Quantity.i.14.0","Quantity.14.0","Quantity.14.1n.9","Quantity.14.1n.7","Quantity.14.1n.5","Quantity.i.15.0","Quantity.ai.15.0","Quantity.15.0","Quantity.i16.0","Quantity.16.0","Quantity.16.1n.11","Quantity.16.1n.9","Quantity.16.1n.7","Quantity.16.1n.5","Quantity.17.1.a.","Quantity.i.17.0","Quantity.16.2n.6","Quantity.ai.17.0","Quantity.17.1.b.","Quantity.16.2n.4","Quantity.17.0","Quantity.Phytane","Quantity.16.3n.4","Quantity.17.1","Quantity.16.4n.3","Quantity.16.4n.1","Quantity.18.0","Quantity.18.1n.13","Quantity.18.1n.11","Quantity.18.1n.9","Quantity.18.1n.7","Quantity.18.1n.5","Quantity.18.2d5.11","Quantity.18.2n.7","Quantity.18.2n.6","Quantity.18.2n.4","Quantity.18.3n.6","Quantity.18.3n.4","Quantity.18.3n.3","Quantity.18.3n.1","Quantity.18.4n.3","Quantity.18.4n.1","Quantity.20.0","Quantity.20.1n.11","Quantity.20.1n.9","Quantity.20.1n.7","Quantity.20.2NMID1","Quantity.20.2n.9","Quantity.20.2NMID2","Quantity.20.2n.6","Quantity.20.3NMIT","Quantity.20.3n.6","Quantity.20.4n.6","Quantity.20.3n.3","Quantity.20.4n.3","Quantity.20.5n.3","Quantity.22.0","Quantity.22.1n.11","Quantity.22.1n.9","Quantity.22.1n.7","Quantity.22.2NMID1","Quantity.22.2NMID2","Quantity.22.2n.6","Quantity.21.5n.3","Quantity.23.0","Quantity.22.4n.6","Quantity.22.5n.6","Quantity.22.4n.3","Quantity.22.5n.3","Quantity.24.0","Quantity.22.6n.3","Quantity.24.1n.9","Total.Peak.Area","file","Area.DMA.1","Area.DMA.2","Area.DMA.1.1","Area.DMA.2.1","Quantity.DMA.1","Quantity.DMA.2"
"1","2025\06\26\SCAL_0037.DATA",1,5628.8,1.9,1.4,116.7,NA,NA,NA,6.2,1.1,53.9,20,1897.9,29.4,10.9,83.7,25,NA,53.5,4.5,14,6.5,3.5,60.2,64,0.1,6.9,NA,4.5,634.7,10.7,NA,83.7,373,18.1,4.2,NA,22.9,21.2,10,2.4,17.9,5.9,114.9,219,5.6,73.4,63.5,40.3,NA,7.3,NA,37.1,4.5,5.5,127.3,11.4,24.9,1919.1,9.9,NA,2.1,6.7,6.7,NA,3.7,92.3,2283.9,5.7,48.3,4.8,87.6,2.1,3491.6,NA,61.1,337726,114.1,83.8,6999.1,NA,NA,NA,374.8,67.3,3233.5,1199.3,113871,1763.7,651.5,5022.9,1501.1,NA,3211.3,270.1,838.2,387.9,210.2,3611.7,3838.1,8.7,411.4,NA,269.8,38080.2,642.9,NA,5019.8,22381.4,1085.8,250.5,NA,1376.4,1273.4,601.3,147,1071.7,351.2,6893.4,13137.2,334.6,4406.4,3811.9,2416.8,NA,435.7,NA,2227.1,268.6,331.9,7637.5,685.2,1491.9,115148.6,593.5,NA,126.1,403.1,404.4,NA,221.9,5539.9,137033,341.6,2899,289.9,5254.9,125.2,209495.7,NA,0.01,0,0.02,0.01,1.03,NA,NA,NA,0.06,0.01,0.48,0.17,16.29,0.25,0.09,0.72,0.22,NA,0.45,0.04,0.12,0.05,0.03,0.51,0.56,0,0.06,NA,0.04,5.25,0.09,NA,0.7,3.1,0.15,0.03,NA,0.19,0.18,0.08,0.02,0.15,0.05,0.95,1.81,0.05,0.6,0.51,0.33,NA,0.06,NA,0.3,0.04,0.04,1.02,0.09,0.2,15.4,0.08,NA,0.02,0.05,0.05,NA,0.03,0.74,18.33,0.04,0.38,0.04,0.69,0.02,26.94,NA,18344.42,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
"2","2025\06\26\SCAL_0038.DATA",1.3,5438.3,2.2,1.2,127,4.2,NA,NA,6,1.2,63.5,34.7,2131.7,29.3,12.4,95.3,26.9,NA,53.7,5.3,15.3,7.3,4,65,63,1.2,8.9,2.9,4.7,716.1,11.5,7.1,105.6,462.5,20.7,4.7,NA,25,24.8,11.9,3.4,21.1,6.5,161,6.1,6.4,94.9,74.3,46.6,42.7,NA,8.4,40.5,5.5,5.9,131.7,14.1,33.2,2112.5,12.8,4.8,4.2,NA,9.7,17.9,4.4,102.3,2870.7,6.2,48.2,4.4,100,3.6,3857.8,NA,76.1,326300.6,129.8,69.1,7617.6,254,NA,NA,359.1,73.2,3807.7,2079.2,127904.3,1755.7,744.8,5718.9,1612.6,NA,3222.7,317,916.2,435.5,238.3,3898.7,3781.6,73.1,534.1,174.4,280.7,42964.9,690.4,428.2,6335.7,27749.8,1240.7,283.7,NA,1498.3,1486.8,715.7,203.6,1266.8,390,9661.6,366,382.5,5692.5,4456.1,2794.3,2564.2,NA,503.2,2431.8,328.7,353.6,7901.7,847.9,1990.3,126752.3,770.1,290.8,254.3,NA,580.9,1073.4,262.9,6135.5,172240.2,374.6,2894.9,262.6,5997.6,218.4,231466.1,NA,0.01,0,0.02,0.01,0.96,0.03,NA,NA,0.05,0.01,0.48,0.25,15.67,0.22,0.09,0.7,0.2,NA,0.39,0.04,0.11,0.05,0.03,0.47,0.47,0.01,0.06,0.02,0.03,5.08,0.08,0.05,0.75,3.29,0.15,0.03,NA,0.18,0.18,0.08,0.02,0.15,0.05,1.14,0.04,0.04,0.66,0.52,0.32,0.3,NA,0.06,0.28,0.04,0.04,0.91,0.1,0.23,14.52,0.09,0.03,0.03,NA,0.07,0.12,0.03,0.7,19.74,0.04,0.33,0.03,0.67,0.02,25.5,NA,20047.7,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
"3","2025\06\26\SCAL_0039.DATA",1.7,6080.8,2.3,0.7,125,4.1,NA,NA,5.8,1,59.4,25.2,1913,32,11.9,106.4,24,NA,61.7,6.2,10.2,7.9,5.7,71.4,69,3.8,7.9,2.5,6.2,782.7,12.9,6.8,99.7,333.8,20,5.9,NA,30.9,23.9,12.7,3.9,24.4,6.2,160.9,6.5,7.2,101.4,80.6,59.5,45.3,NA,10.5,40.6,8.5,NA,145.3,14.7,47.8,2122.1,12.9,5.3,4.9,NA,11.2,16,4.8,111.2,2613.4,8.2,54.6,4.8,92.8,2.8,3600.7,NA,100.5,364845.4,137.7,42,7500.5,248.4,NA,NA,350.6,60.9,3564.4,1512.9,114778.7,1918.9,716.9,6383.6,1439.5,NA,3704.4,372.8,612.2,474.1,341.2,4281.6,4140,229.1,471.9,150.5,369.7,46961.3,771.1,408.5,5981.4,20028.6,1201.9,351.1,NA,1851.3,1432.8,761.7,232.5,1465.8,374.3,9651.4,392.7,432.9,6086.8,4835.2,3571,2719.9,NA,632.4,2434.4,507.5,NA,8716.5,879.5,2868.7,127325.3,772.7,319.7,296.1,NA,671.6,958.6,286.5,6671.6,156802.4,490.3,3273.5,290,5568.4,166.7,216042,NA,0.01,0,0.02,0.01,1,0.03,NA,NA,0.05,0.01,0.47,0.19,14.75,0.25,0.09,0.82,0.19,NA,0.47,0.05,0.08,0.06,0.04,0.54,0.54,0.03,0.06,0.02,0.05,5.82,0.1,0.05,0.74,2.49,0.15,0.04,NA,0.23,0.18,0.09,0.03,0.18,0.05,1.2,0.05,0.05,0.74,0.59,0.43,0.33,NA,0.08,0.29,0.06,NA,1.05,0.11,0.34,15.3,0.09,0.04,0.04,NA,0.08,0.12,0.03,0.8,18.84,0.06,0.39,0.03,0.66,0.02,24.96,NA,20137.27,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
"4","2025\06\26\SCAL_0040.DATA",0.4,4284.6,1.5,NA,136.8,2.5,NA,NA,5.3,1.2,72,8.9,2311.1,33.7,13.3,120.1,34.2,NA,55.6,4.5,15,6.9,4.7,71.5,57.4,1.7,11,3.3,4.7,646.2,NA,4.8,106,430.8,25.8,5.7,NA,33.2,32.3,15.4,11.1,30.5,9.3,212.4,5.7,6.8,78,91.1,65.5,28.9,NA,7.3,49.4,9.1,NA,123.3,16.7,48.8,2402.2,9.9,3.2,4.8,NA,8.8,15.4,4.7,128.8,2480.2,7.7,48.7,3.9,112.5,1.9,3588.9,NA,21.1,257079,88.3,NA,8207.5,148.5,NA,NA,318.4,74.8,4321.8,532,138668.9,2019.5,795.2,7208.7,2050.5,NA,3338.3,267.5,901.8,413.4,279.8,4292.2,3444.1,100.5,660.5,200.7,280,38771,NA,285.2,6359,25848.2,1545.2,343.4,NA,1990.9,1937.2,923.2,665.3,1832.7,558.7,12741.3,341.6,410,4679.5,5465.2,3928,1733.9,NA,440.5,2965.1,547.8,NA,7398.2,1005,2926,144132.3,591.2,191.9,288.2,NA,530.6,925.1,283.1,7725.3,148810.4,459.5,2922,231.8,6748.8,111.4,215336.4,NA,0,0,0.01,NA,1.05,0.02,NA,NA,0.04,0.01,0.55,0.07,17.13,0.25,0.1,0.9,0.25,NA,0.41,0.03,0.11,0.05,0.03,0.52,0.43,0.01,0.08,0.02,0.03,4.62,NA,0.03,0.76,3.09,0.18,0.04,NA,0.24,0.23,0.11,0.08,0.22,0.07,1.52,0.04,0.05,0.55,0.64,0.46,0.2,NA,0.05,0.34,0.06,NA,0.85,0.12,0.34,16.64,0.07,0.02,0.03,NA,0.06,0.11,0.03,0.89,17.18,0.05,0.33,0.03,0.76,0.01,23.91,NA,18863.25,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
"5","2025\06\26\SCAL_0041.DATA",1.2,5838.6,2.4,NA,128.9,3.5,NA,NA,5.9,1.1,53.4,32.5,1943.4,30.2,13.4,130.3,24.4,NA,66.8,6.2,10.8,8.1,5.9,67.1,77.1,9.6,13.3,3.8,5,663.8,13.3,7.8,112.1,444.5,26,5.4,NA,25.9,26.8,12.5,4,23.4,10,171.1,6.9,7.2,97.7,92.8,62.4,50.5,NA,9.3,40.1,5.8,6.5,129.5,13.7,26.5,1897.8,14.4,30.9,13.7,NA,6.6,15.4,4.9,95.4,2468.6,6.3,43.9,3.2,83.8,3.3,3361.4,NA,70.9,350315.7,146.6,NA,7733.4,208.7,NA,NA,355.6,65.4,3204.1,1950.4,116604.2,1810.9,805.6,7819.4,1461.9,NA,4010,371.7,649.5,483.2,354.5,4027.4,4628.2,575.7,795.7,229.6,297.2,39825.3,797.2,470.7,6723.8,26672.7,1557.9,323,NA,1555.1,1608.9,750.3,240.5,1403.4,597.8,10265.7,416.5,431.5,5864.2,5565.3,3743.3,3032.7,NA,559.2,2406.2,345.5,390.1,7767.2,820.5,1591.8,113870.7,863,1855.8,823.6,NA,394.1,926.1,291.7,5723.9,148117.2,378.3,2636.7,192.9,5025.1,196.4,201686.8,NA,0.01,0,0.02,NA,1.07,0.03,NA,NA,0.05,0.01,0.44,0.26,15.54,0.24,0.11,1.05,0.2,NA,0.53,0.05,0.09,0.06,0.05,0.53,0.63,0.08,0.1,0.03,0.04,5.12,0.1,0.06,0.87,3.45,0.2,0.04,NA,0.2,0.21,0.1,0.03,0.18,0.08,1.32,0.05,0.05,0.74,0.7,0.47,0.38,NA,0.07,0.3,0.04,0.05,0.97,0.1,0.2,14.19,0.11,0.23,0.1,NA,0.05,0.12,0.04,0.71,18.46,0.05,0.32,0.02,0.61,0.02,24.17,NA,19410,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
"6","2025\06\26\SCAL_0042.DATA",1.1,5121.8,NA,NA,137.1,3,NA,NA,6,1.4,67.9,31.3,2131.4,32.3,12.5,108.2,27.6,NA,67,4.3,11.9,7.3,4.9,68.4,64.6,1.9,8.6,3.5,3.3,672.4,12,6.4,88.5,393.4,24,5.5,NA,29.7,21.6,12.2,2.4,21.4,6.2,133.7,NA,6.7,88.2,77.2,46.8,36.9,NA,9.1,39.9,7.5,NA,143.9,11.8,25.4,2127.8,12.2,6.7,5.7,NA,8.8,14.2,4.1,105.7,2611.8,6.7,49,3.6,97.5,3.5,3751.6,NA,64.6,307309.9,NA,NA,8226.8,181.8,NA,NA,359.6,86.1,4071,1878.1,127886.9,1939.4,752.8,6489.2,1656.3,NA,4019.6,258.2,713.4,440.2,295.4,4105.5,3875.2,111.4,516.6,211.7,198.9,40344.5,720.6,385.9,5311.2,23601.6,1438.5,331.9,NA,1779.6,1298.9,734,142.7,1286.6,374,8024.8,NA,400.1,5290.8,4635,2809.5,2215.1,NA,547.9,2395.4,447.8,NA,8636.3,708,1521,127670,734.6,399.7,344.9,NA,530.3,853.9,245.9,6342.6,156705.6,399.5,2941.5,216.8,5851,209.9,225098.8,NA,0.01,0,NA,NA,1.08,0.02,NA,NA,0.05,0.01,0.53,0.24,16.24,0.25,0.1,0.83,0.21,NA,0.5,0.03,0.09,0.05,0.04,0.52,0.5,0.01,0.06,0.03,0.03,4.94,0.09,0.05,0.65,2.9,0.18,0.04,NA,0.22,0.16,0.09,0.02,0.16,0.05,0.98,NA,0.05,0.63,0.56,0.34,0.26,NA,0.07,0.29,0.05,NA,1.03,0.08,0.18,15.16,0.09,0.05,0.04,NA,0.06,0.1,0.03,0.75,18.6,0.05,0.34,0.03,0.68,0.02,25.7,NA,19345.17,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
"7","2025\06\26\SCAL_0044.DATA",1.1,3389.9,NA,NA,91.3,NA,NA,NA,3.5,NA,48.8,18.4,1601.8,22,11.1,83.8,21.5,NA,43,4,10.3,4.7,3,53,39,0.8,6.6,2.3,3,553.1,8.6,4.7,81.4,311.2,18.7,3.5,NA,23.4,18.3,8.4,4.3,20.4,4.6,141.9,5,3.8,65.6,67.3,47.5,32,NA,7.4,33,5.4,6.7,109.5,11.6,32.3,1770,8.5,NA,7,NA,7.5,12.4,3.5,90.5,1868.7,5.5,38.2,NA,93.8,1.7,2889.3,NA,66.4,203393.6,NA,NA,5477.8,NA,NA,NA,210.8,NA,2930.4,1102,96108.9,1317.8,665.7,5028.4,1289.9,NA,2580.4,240.7,615.2,279.4,182.1,3181.2,2337.1,49.9,393.4,136.4,182.4,33187.7,518.5,280.7,4882.1,18674.4,1124.5,211.9,NA,1404.5,1099.8,501,255.5,1221.5,277.9,8515.9,300,226.8,3934.5,4039.5,2848.1,1918.1,NA,442.3,1979.6,324.8,403.2,6569.6,697.4,1936.8,106201.3,510.6,NA,418.6,NA,450.1,746.2,210.8,5430.7,112122.7,331.8,2291,NA,5626.3,104.9,173360.6,NA,0.01,0,NA,NA,0.93,NA,NA,NA,0.04,NA,0.49,0.18,15.73,0.22,0.11,0.83,0.21,NA,0.42,0.04,0.1,0.04,0.03,0.52,0.39,0.01,0.06,0.02,0.03,5.24,0.08,0.04,0.77,2.96,0.18,0.03,NA,0.22,0.17,0.08,0.04,0.19,0.04,1.34,0.05,0.04,0.61,0.62,0.44,0.3,NA,0.07,0.3,0.05,0.06,1.01,0.11,0.3,16.25,0.08,NA,0.06,NA,0.07,0.11,0.03,0.83,17.16,0.05,0.34,NA,0.84,0.02,25.51,NA,14380.65,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
"8","2025\06\26\SCAL_0045_1.DATA",3.3,5400.1,NA,1,116,3.5,NA,NA,4.9,1.2,66.4,26.5,2024.4,30.5,10.5,99.5,26,NA,66.9,3.6,13,7.6,3.8,80,66.6,NA,10.8,1.3,4.9,666.8,12.1,6.5,100.7,403.9,26.5,5,NA,27,24.5,13.5,3.6,19.7,7.6,160.8,NA,5.9,110.3,89.1,67.9,38.5,NA,8.2,44.6,7.4,7.4,151.6,13.8,35.8,2167.4,8.5,2.3,6,NA,8.9,13.7,2.9,109.7,2648.1,7.2,58.1,NA,95.6,1.6,3854.7,NA,195.3,324007.9,NA,59.4,6959.8,208.8,NA,NA,292,72.8,3983.1,1592.9,121465.5,1829.7,629.8,5971.6,1557.5,NA,4012.3,215.1,780.9,457.2,229.9,4798.6,3997.5,NA,651,79.6,293.8,40008.6,725.7,391.2,6041.9,24236.6,1591,300.8,NA,1617.3,1468.3,808.1,218.5,1184.9,455.8,9646.5,NA,353.4,6615.4,5343.6,4072.3,2309.9,NA,489.5,2673.8,442.1,443.4,9095.8,826.7,2147.5,130044.3,512.6,140.2,358.6,NA,535.7,824.2,176.7,6579.5,158887.9,433.9,3485.2,NA,5737.1,96.6,231282.6,NA,0.02,0,NA,0.01,0.9,0.02,NA,NA,0.04,0.01,0.51,0.2,15.22,0.23,0.08,0.75,0.2,NA,0.5,0.03,0.1,0.05,0.03,0.59,0.51,NA,0.08,0.01,0.04,4.83,0.09,0.05,0.73,2.94,0.19,0.04,NA,0.2,0.18,0.1,0.03,0.14,0.06,1.17,NA,0.04,0.78,0.63,0.48,0.27,NA,0.06,0.31,0.05,0.05,1.07,0.1,0.25,15.24,0.06,0.02,0.04,NA,0.06,0.1,0.02,0.77,18.61,0.05,0.4,NA,0.66,0.01,26.05,NA,19748.46,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
"9","2025\06\26\SCAL_0045_2.DATA",3.3,5248.5,1.6,NA,113.3,3.5,NA,NA,4.9,1.2,64.8,26.5,1983.6,30.8,11.9,101.3,27.3,NA,66.9,4.2,11.6,7.1,3.6,78.2,69.8,1.7,9.8,3.7,5,654.4,11.9,6.8,99.8,398.5,26.6,5,NA,26.1,23.9,13.6,3.8,20.6,7.9,158.9,NA,6.3,109.1,87.4,67.5,38.5,NA,8.3,43.7,6.2,6.7,149.1,13.7,35,2135.6,8.1,2.4,6.3,NA,8.5,13.9,NA,108.2,2619.3,8.1,58.4,NA,95,1.4,3811.8,NA,199.1,314909.5,93.6,NA,6798.9,210.6,NA,NA,293.4,72.4,3886.5,1588,119015.7,1847.1,711.4,6078.2,1638.1,NA,4016.2,249.6,697.2,428.6,216.6,4691,4189.7,102.9,587,219.1,300.9,39263.6,716.7,409,5988.2,23907.4,1594.2,298.6,NA,1568.4,1436.8,817.6,229.9,1234.4,473.8,9535.6,NA,378.3,6544.3,5241.4,4051.9,2309.5,NA,498.5,2623.7,373.1,404.1,8947,822.9,2101.8,128135.3,485.6,146.2,380.5,NA,511.3,831,NA,6489.6,157160.9,488.7,3501.9,NA,5699.5,83.3,228706.8,NA,0.02,0,0.01,NA,0.89,0.02,NA,NA,0.04,0.01,0.51,0.2,15.09,0.24,0.09,0.77,0.21,NA,0.5,0.03,0.09,0.05,0.03,0.59,0.54,0.01,0.07,0.03,0.04,4.8,0.09,0.05,0.74,2.94,0.2,0.04,NA,0.19,0.18,0.1,0.03,0.15,0.06,1.17,NA,0.05,0.78,0.63,0.49,0.28,NA,0.06,0.31,0.04,0.05,1.06,0.1,0.25,15.19,0.06,0.02,0.05,NA,0.06,0.1,NA,0.77,18.63,0.06,0.41,NA,0.66,0.01,26.07,NA,19399.05,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
"10","2025\06\26\SCAL_0046.DATA",1.7,4757.8,1.7,NA,114.2,NA,NA,NA,4.3,1,59,23.2,2050.1,29.4,14.1,111.4,26.6,NA,56,3.6,13,5.2,3.4,66.4,53.9,2.1,8.8,2.9,3.8,669.3,13,6.3,109.9,435.2,26.5,6,NA,26,27.7,11.4,4.3,22.3,7.5,198.6,4.1,6.5,86.6,75.9,62,35,NA,7.5,41.8,6.7,6.7,116.3,15.1,37.8,2172.1,10.2,NA,5.9,NA,7.3,13.8,NA,117.2,2177,6.1,43,NA,93,1.3,3589.4,NA,103.7,285468,102.4,NA,6852,NA,NA,NA,260.3,57.4,3539.5,1391.1,123008.7,1762.5,844,6682.1,1596.4,NA,3360.7,216.9,782.1,314.6,201.8,3985.6,3231.1,128.9,529,172.1,228.6,40158.3,777.8,375,6591.9,26111.3,1588.4,358.8,NA,1561.7,1660.9,682.7,260.5,1337.7,451.9,11913.9,245,390.7,5195.5,4554,3722.6,2097.2,NA,449,2509.7,403.9,402.9,6977.2,904,2270.5,130326.7,609.9,NA,356.2,NA,437.1,826.9,NA,7033.7,130621,363.1,2581.6,NA,5581.3,79.5,215366.8,NA,0.01,0,0.01,NA,0.94,NA,NA,NA,0.04,0.01,0.48,0.18,16.3,0.23,0.11,0.89,0.21,NA,0.44,0.03,0.1,0.04,0.03,0.52,0.44,0.02,0.07,0.02,0.03,5.13,0.1,0.05,0.85,3.35,0.2,0.05,NA,0.2,0.21,0.09,0.03,0.17,0.06,1.52,0.03,0.05,0.65,0.57,0.47,0.26,NA,0.06,0.31,0.05,0.05,0.86,0.11,0.28,16.15,0.08,NA,0.04,NA,0.05,0.1,NA,0.87,16.18,0.04,0.31,NA,0.68,0.01,25.66,NA,18367.19,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
"11","2025\06\26\SCAL_0048.DATA",2.2,5214.9,2,NA,132.1,NA,NA,NA,5.8,1.4,58.4,24.1,2165.7,31.9,13,126.3,34.4,NA,59.6,5.2,12.9,6.4,5.8,62.7,67.7,2.1,7.6,2.7,4.8,600.5,14.1,6.1,93.1,436,20.2,4.9,NA,25.8,25.3,11.8,1.9,20.4,5,119.4,3.7,5.6,83.2,76.6,55.4,28.9,NA,7.3,39,4.8,5.8,138.3,10.7,23.2,2198.5,9.4,2.6,3.1,NA,8.3,14.3,4.8,111.4,2282.7,7,49.4,NA,97,2.4,3862.4,NA,129,312895.7,118.4,NA,7925.6,NA,NA,NA,348.2,81.2,3505.7,1443.2,129939.6,1912.5,780.3,7576.6,2064.8,NA,3574,310,776.6,382,346.6,3761.6,4060.8,123.5,454,161.5,287.9,36030.1,843.6,367.2,5588.1,26159.2,1209.9,294.4,NA,1550.9,1515.4,706.2,116.4,1224.2,297.3,7165.4,223.8,336.6,4990.1,4595.4,3322.2,1731.8,NA,439.6,2340.5,285.6,350.8,8296.9,644.3,1391.1,131907.4,565.3,157.6,184.1,NA,499.2,857.3,289.6,6685.4,136962.7,422.6,2962.3,NA,5821.6,143.9,231743.5,NA,0.02,0,0.02,NA,1.05,NA,NA,NA,0.05,0.01,0.46,0.19,16.74,0.25,0.1,0.98,0.27,NA,0.46,0.04,0.1,0.05,0.04,0.48,0.53,0.02,0.05,0.02,0.04,4.47,0.11,0.05,0.7,3.27,0.15,0.04,NA,0.19,0.19,0.09,0.01,0.15,0.04,0.89,0.03,0.04,0.61,0.56,0.4,0.21,NA,0.05,0.28,0.03,0.04,1,0.08,0.17,15.89,0.07,0.02,0.02,NA,0.06,0.1,0.03,0.81,16.5,0.05,0.35,NA,0.69,0.02,26.84,NA,19185.7,"C:/Users/freya/OneDrive - Dalhousie University/Ch 1/Freya_Scallops/SCAL_Freya_06-26_2025-11-14.csv",NA,NA,NA,NA,NA,NA
